TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
3.280000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.300000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.320000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.340000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.360000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.380000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.400000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.420000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.440000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.460000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.480000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.500000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.520000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.540000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.560000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.580000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.600000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.620000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.640000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.660000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.680000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.700000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.720000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.740000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.760000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.780000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.800000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
