TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
2.240000000000000e-01 3.229935724135761e-01 -1.243057102204343e+00 8.221128249387484e-02
2.260000000000000e-01 3.170261728630545e-01 -1.231945991093232e+00 8.009274094979417e-02
2.280000000000000e-01 3.111473005768259e-01 -1.220834879982121e+00 7.802116733906242e-02
2.300000000000000e-01 3.053559668949362e-01 -1.209723768871010e+00 7.599569070543113e-02
2.320000000000000e-01 2.996511905457989e-01 -1.198612657759899e+00 7.401545306142605e-02
2.340000000000000e-01 2.940319976184790e-01 -1.187501546648788e+00 7.207960924297144e-02
2.360000000000000e-01 2.884974215349875e-01 -1.176390435537677e+00 7.018732676510839e-02
2.380000000000000e-01 2.830465030225661e-01 -1.165279324426566e+00 6.833778567879616e-02
2.400000000000000e-01 2.776782900859800e-01 -1.154168213315454e+00 6.653017842879867e-02
2.420000000000000e-01 2.723918379798044e-01 -1.143057102204343e+00 6.476370971264687e-02
