TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
4.560000000000000e-01 2.402557680000000e-02 -6.663478610000000e-02 3.460078800000000e-03
4.580000000000000e-01 2.363619600000000e-02 -6.240556220000000e-02 3.437214700000000e-03
4.600000000000000e-01 2.324614860000000e-02 -5.822738830000000e-02 3.415804400000000e-03
4.620000000000000e-01 2.285555050000000e-02 -5.412479290000000e-02 3.396095900000000e-03
4.640000000000000e-01 2.246517160000000e-02 -5.014602810000000e-02 3.378409600000000e-03
4.660000000000000e-01 2.207541070000000e-02 -4.629852000000000e-02 3.363112500000000e-03
4.680000000000000e-01 2.168327010000000e-02 -4.255988650000000e-02 3.349662200000000e-03
4.700000000000000e-01 2.128464210000000e-02 -3.887707780000000e-02 3.337532500000000e-03
4.720000000000000e-01 2.087676740000000e-02 -3.519614180000000e-02 3.326251200000000e-03
4.740000000000000e-01 2.045889660000000e-02 -3.152019040000000e-02 3.316100200000000e-03
4.760000000000000e-01 2.003124340000000e-02 -2.792765020000000e-02 3.307215300000000e-03
4.780000000000000e-01 1.959517940000000e-02 -2.443531450000000e-02 3.300109100000000e-03
4.800000000000000e-01 1.914839160000000e-02 -2.098370940000000e-02 3.294368100000000e-03
4.820000000000000e-01 1.869039140000000e-02 -1.751150230000000e-02 3.289366100000000e-03
4.840000000000000e-01 1.821747560000000e-02 -1.402710590000000e-02 3.284581100000000e-03
4.860000000000000e-01 1.774081700000000e-02 -1.057093250000000e-02 3.280878900000000e-03
4.880000000000000e-01 1.726515440000000e-02 -7.181026700000000e-03 3.278772900000000e-03
4.900000000000000e-01 1.679729750000000e-02 -3.813628800000000e-03 3.277652900000000e-03
4.920000000000000e-01 1.634995160000000e-02 -4.331608000000000e-04 3.276784600000000e-03
4.940000000000000e-01 1.593500500000000e-02 2.989525300000000e-03 3.276310500000000e-03
4.960000000000000e-01 1.558532330000000e-02 6.395296800000000e-03 3.276945700000000e-03
4.980000000000000e-01 1.536033510000000e-02 9.763905400000000e-03 3.278296500000000e-03
5.000000000000000e-01 1.529678740000000e-02 1.311872940000000e-02 3.280127800000000e-03
5.020000000000000e-01 1.532208410000000e-02 1.653295930000000e-02 3.282688700000000e-03
5.040000000000000e-01 1.558023150000000e-02 1.997553530000000e-02 3.286374100000000e-03
5.060000000000000e-01 1.599893990000000e-02 2.339187440000000e-02 3.290336000000000e-03
5.080000000000000e-01 1.654324950000000e-02 2.678496250000000e-02 3.294716900000000e-03
5.100000000000000e-01 1.718973320000000e-02 3.022507400000000e-02 3.300396700000000e-03
5.120000000000000e-01 1.791061090000000e-02 3.373733790000000e-02 3.307790900000000e-03
5.140000000000000e-01 1.866498220000000e-02 3.726875740000000e-02 3.315957000000000e-03
5.160000000000000e-01 1.942876070000000e-02 4.078050910000000e-02 3.324819500000000e-03
5.180000000000000e-01 2.017528000000000e-02 4.431524850000000e-02 3.334919400000000e-03
5.200000000000000e-01 2.088913870000000e-02 4.792389160000000e-02 3.346811000000000e-03
5.220000000000000e-01 2.155832170000000e-02 5.161223650000000e-02 3.360347800000000e-03
5.240000000000000e-01 2.217829440000000e-02 5.533314550000000e-02 3.375198200000000e-03
5.260000000000000e-01 2.275073210000000e-02 5.907847440000000e-02 3.391252900000000e-03
5.280000000000000e-01 2.328205710000000e-02 6.287782300000000e-02 3.408839900000000e-03
5.300000000000000e-01 2.377860920000000e-02 6.677314130000001e-02 3.428353100000000e-03
5.320000000000000e-01 2.424689690000000e-02 7.076734570000000e-02 3.449847400000000e-03
5.340000000000000e-01 2.469112940000000e-02 7.484100360000000e-02 3.473121200000000e-03
5.360000000000000e-01 2.511670650000000e-02 7.897260759999999e-02 3.497933000000000e-03
5.380000000000000e-01 2.552903840000000e-02 8.317448220000000e-02 3.524484500000000e-03
5.400000000000000e-01 2.593433900000000e-02 8.748178760000000e-02 3.553052300000000e-03
5.420000000000000e-01 2.633838710000000e-02 9.192111150000000e-02 3.584158000000000e-03
5.440000000000000e-01 2.674461700000000e-02 9.651035020000000e-02 3.617848700000000e-03
5.460000000000000e-01 2.715535260000000e-02 1.012311366000000e-01 3.654129300000000e-03
5.480000000000000e-01 2.757116960000000e-02 1.060653057000000e-01 3.692721900000000e-03
5.500000000000000e-01 2.799330350000000e-02 1.109989854000000e-01 3.733571900000000e-03
5.520000000000000e-01 2.842374780000000e-02 1.160426972000000e-01 3.776827200000000e-03
5.540000000000000e-01 2.886554820000000e-02 1.212228686000000e-01 3.822883800000000e-03
5.560000000000000e-01 2.932209790000000e-02 1.265731964000000e-01 3.872235400000000e-03
5.580000000000001e-01 2.979652740000000e-02 1.321228796000000e-01 3.925352500000000e-03
5.600000000000001e-01 3.029113540000000e-02 1.378887085000000e-01 3.982571800000000e-03
