TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
4.240000000000000e-01 3.961239456000000e-01 -2.082110000000000e-05 1.094381877400000e+00
4.260000000000000e-01 3.961188288000000e-01 -2.012530000000000e-05 1.094381541300000e+00
4.280000000000000e-01 3.961132807000000e-01 -1.945890000000000e-05 1.094381231400000e+00
4.300000000000000e-01 3.961072421000000e-01 -1.880410000000000e-05 1.094380933700000e+00
4.320000000000000e-01 3.961006455000000e-01 -1.814910000000000e-05 1.094380639200000e+00
4.340000000000000e-01 3.960934151000000e-01 -1.750120000000000e-05 1.094380353600000e+00
4.360000000000000e-01 3.960854610000000e-01 -1.686890000000000e-05 1.094380083600000e+00
4.380000000000000e-01 3.960766724000000e-01 -1.624900000000000e-05 1.094379826800000e+00
4.400000000000000e-01 3.960669146000000e-01 -1.563530000000000e-05 1.094379578400000e+00
4.420000000000000e-01 3.960560252000000e-01 -1.502790000000000e-05 1.094379338600000e+00
4.440000000000000e-01 3.960438045000000e-01 -1.442970000000000e-05 1.094379109800000e+00
4.460000000000000e-01 3.960300040000000e-01 -1.384060000000000e-05 1.094378891800000e+00
4.480000000000000e-01 3.960143124000000e-01 -1.325840000000000e-05 1.094378683200000e+00
4.500000000000000e-01 3.959963384000000e-01 -1.268260000000000e-05 1.094378483600000e+00
4.520000000000000e-01 3.959755887000000e-01 -1.211360000000000e-05 1.094378293500000e+00
4.540000000000000e-01 3.959514418000000e-01 -1.155140000000000e-05 1.094378112700000e+00
4.560000000000000e-01 3.959231195000000e-01 -1.099520000000000e-05 1.094377941000000e+00
4.580000000000000e-01 3.958896594000000e-01 -1.044450000000000e-05 1.094377778000000e+00
4.600000000000000e-01 3.958498924000000e-01 -9.899300000000000e-06 1.094377623700000e+00
4.620000000000000e-01 3.958024355000000e-01 -9.359200000000000e-06 1.094377478000000e+00
4.640000000000000e-01 3.957457149000000e-01 -8.823900000000000e-06 1.094377340800000e+00
4.660000000000000e-01 3.956780441000000e-01 -8.293200000000000e-06 1.094377211900000e+00
4.680000000000000e-01 3.955977995000000e-01 -7.766599999999999e-06 1.094377091200000e+00
4.700000000000000e-01 3.955037642000000e-01 -7.244000000000000e-06 1.094376978600000e+00
4.720000000000000e-01 3.953957827000000e-01 -6.725100000000000e-06 1.094376874100000e+00
4.740000000000000e-01 3.952762159000000e-01 -6.209700000000000e-06 1.094376777400000e+00
4.760000000000000e-01 3.951637646000000e-01 -5.697300000000000e-06 1.094376688600000e+00
4.780000000000000e-01 3.950740138000000e-01 -5.187300000000000e-06 1.094376607300000e+00
4.800000000000000e-01 3.950110583000000e-01 -4.679800000000000e-06 1.094376533700000e+00
4.820000000000000e-01 3.949734526000000e-01 -4.174200000000000e-06 1.094376467600000e+00
4.840000000000000e-01 3.949561976000000e-01 -3.670200000000000e-06 1.094376409100000e+00
4.860000000000000e-01 3.949522518000000e-01 -3.166800000000000e-06 1.094376358200000e+00
4.880000000000000e-01 3.949573673000000e-01 -2.665000000000000e-06 1.094376314200000e+00
4.900000000000000e-01 3.949769425000000e-01 -2.165900000000000e-06 1.094376278200000e+00
4.920000000000000e-01 3.950186168000000e-01 -1.668200000000000e-06 1.094376249700000e+00
4.940000000000000e-01 3.950885230000000e-01 -1.171700000000000e-06 1.094376228500000e+00
4.960000000000000e-01 3.951896801000000e-01 -6.759000000000000e-07 1.094376214700000e+00
4.980000000000000e-01 3.953196273000000e-01 -1.807000000000000e-07 1.094376208200000e+00
5.000000000000000e-01 3.954655104000000e-01 3.143000000000000e-07 1.094376209100000e+00
5.020000000000000e-01 3.955908318000000e-01 8.096000000000000e-07 1.094376217200000e+00
5.040000000000000e-01 3.956894708000000e-01 1.305400000000000e-06 1.094376232800000e+00
5.060000000000000e-01 3.957618716000000e-01 1.801900000000000e-06 1.094376255600000e+00
5.080000000000000e-01 3.958115070000000e-01 2.299400000000000e-06 1.094376285900000e+00
5.100000000000000e-01 3.958430494000000e-01 2.798200000000000e-06 1.094376323600000e+00
5.120000000000000e-01 3.958612547000000e-01 3.298500000000000e-06 1.094376368800000e+00
5.140000000000000e-01 3.958703489000000e-01 3.800600000000000e-06 1.094376421400000e+00
5.160000000000000e-01 3.958737915000000e-01 4.305400000000000e-06 1.094376481800000e+00
5.180000000000000e-01 3.958742374000000e-01 4.812900000000000e-06 1.094376550000000e+00
5.200000000000000e-01 3.958725427000000e-01 5.322600000000000e-06 1.094376625800000e+00
5.220000000000000e-01 3.958683484000000e-01 5.832700000000000e-06 1.094376708600000e+00
5.240000000000000e-01 3.958644455000000e-01 6.346000000000000e-06 1.094376799700000e+00
