run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time
run_0154,visc_on_sensor_rho_beta_1p5_cfl_0p8_nx_201_mode_1,5,on,rho,1.5,0.8,201,1,0.2,completed,completed,0.2
run_0155,visc_on_sensor_rho_beta_1p5_cfl_0p8_nx_501_mode_1,5,on,rho,1.5,0.8,501,1,0.2,completed,completed,0.2
run_0156,visc_on_sensor_rho_beta_1p5_cfl_0p8_nx_1001_mode_1,5,on,rho,1.5,0.8,1001,1,0.2,completed,completed,0.2
run_0157,visc_on_sensor_u_beta_1p5_cfl_0p2_nx_101_mode_1,5,on,u,1.5,0.2,101,1,0.2,completed,completed,0.2
run_0158,visc_on_sensor_u_beta_1p5_cfl_0p2_nx_201_mode_1,5,on,u,1.5,0.2,201,1,0.2,completed,completed,0.2
run_0159,visc_on_sensor_u_beta_1p5_cfl_0p2_nx_501_mode_1,5,on,u,1.5,0.2,501,1,0.2,completed,completed,0.2
run_0160,visc_on_sensor_u_beta_1p5_cfl_0p2_nx_1001_mode_1,5,on,u,1.5,0.2,1001,1,0.2,completed,completed,0.2
run_0161,visc_on_sensor_u_beta_1p5_cfl_0p5_nx_101_mode_1,5,on,u,1.5,0.5,101,1,0.2,completed,completed,0.2
run_0162,visc_on_sensor_u_beta_1p5_cfl_0p5_nx_201_mode_1,5,on,u,1.5,0.5,201,1,0.2,completed,completed,0.2
run_0163,visc_on_sensor_u_beta_1p5_cfl_0p5_nx_501_mode_1,5,on,u,1.5,0.5,501,1,0.2,completed,completed,0.2
run_0164,visc_on_sensor_u_beta_1p5_cfl_0p5_nx_1001_mode_1,5,on,u,1.5,0.5,1001,1,0.2,completed,completed,0.2
run_0165,visc_on_sensor_u_beta_1p5_cfl_0p8_nx_101_mode_1,5,on,u,1.5,0.8,101,1,0.2,completed,completed,0.2
run_0166,visc_on_sensor_u_beta_1p5_cfl_0p8_nx_201_mode_1,5,on,u,1.5,0.8,201,1,0.2,completed,completed,0.2
run_0167,visc_on_sensor_u_beta_1p5_cfl_0p8_nx_501_mode_1,5,on,u,1.5,0.8,501,1,0.2,completed,completed,0.2
run_0168,visc_on_sensor_u_beta_1p5_cfl_0p8_nx_1001_mode_1,5,on,u,1.5,0.8,1001,1,0.2,completed,completed,0.2
run_0169,visc_on_sensor_p_beta_1p5_cfl_0p2_nx_101_mode_1,5,on,p,1.5,0.2,101,1,0.2,completed,completed,0.2
run_0170,visc_on_sensor_p_beta_1p5_cfl_0p2_nx_201_mode_1,5,on,p,1.5,0.2,201,1,0.2,completed,completed,0.2
run_0171,visc_on_sensor_p_beta_1p5_cfl_0p2_nx_501_mode_1,5,on,p,1.5,0.2,501,1,0.2,completed,completed,0.2
run_0172,visc_on_sensor_p_beta_1p5_cfl_0p2_nx_1001_mode_1,5,on,p,1.5,0.2,1001,1,0.2,completed,completed,0.2
run_0173,visc_on_sensor_p_beta_1p5_cfl_0p5_nx_101_mode_1,5,on,p,1.5,0.5,101,1,0.2,completed,completed,0.2
run_0174,visc_on_sensor_p_beta_1p5_cfl_0p5_nx_201_mode_1,5,on,p,1.5,0.5,201,1,0.2,completed,completed,0.2
run_0175,visc_on_sensor_p_beta_1p5_cfl_0p5_nx_501_mode_1,5,on,p,1.5,0.5,501,1,0.2,completed,completed,0.2
run_0176,visc_on_sensor_p_beta_1p5_cfl_0p5_nx_1001_mode_1,5,on,p,1.5,0.5,1001,1,0.2,completed,completed,0.2
run_0177,visc_on_sensor_p_beta_1p5_cfl_0p8_nx_101_mode_1,5,on,p,1.5,0.8,101,1,0.2,completed,completed,0.2
run_0178,visc_on_sensor_p_beta_1p5_cfl_0p8_nx_201_mode_1,5,on,p,1.5,0.8,201,1,0.2,completed,completed,0.2
run_0179,visc_on_sensor_p_beta_1p5_cfl_0p8_nx_501_mode_1,5,on,p,1.5,0.8,501,1,0.2,completed,completed,0.2
run_0180,visc_on_sensor_p_beta_1p5_cfl_0p8_nx_1001_mode_1,5,on,p,1.5,0.8,1001,1,0.2,completed,completed,0.2
run_0181,visc_off_sensor_none_beta_0_cfl_0p2_nx_101_mode_1,5,off,none,0.0,0.2,101,1,0.2,completed,completed,0.2
run_0182,visc_off_sensor_none_beta_0_cfl_0p2_nx_201_mode_1,5,off,none,0.0,0.2,201,1,0.2,completed,completed,0.2
run_0183,visc_off_sensor_none_beta_0_cfl_0p2_nx_501_mode_1,5,off,none,0.0,0.2,501,1,0.2,completed,completed,0.2
run_0184,visc_off_sensor_none_beta_0_cfl_0p2_nx_1001_mode_1,5,off,none,0.0,0.2,1001,1,0.2,completed,completed,0.2
run_0185,visc_off_sensor_none_beta_0_cfl_0p5_nx_101_mode_1,5,off,none,0.0,0.5,101,1,0.2,completed,completed,0.2
run_0186,visc_off_sensor_none_beta_0_cfl_0p5_nx_201_mode_1,5,off,none,0.0,0.5,201,1,0.2,completed,completed,0.2
